trading_date,factor_group,mean,count
2024-10-28,G1,-0.008309819807401145,1014
2024-10-28,G2,-0.011358078043642568,1014
2024-10-28,G3,-0.014374319447756039,1013
2024-10-28,G4,-0.01660187550080137,1014
2024-10-28,G5,-0.01795575006509294,1014
2024-10-29,G1,0.03212478179566124,1014
2024-10-29,G2,0.03584423743316032,1014
2024-10-29,G3,0.03749637926149206,1013
2024-10-29,G4,0.0400969470939904,1014
2024-10-29,G5,0.03354242179519249,1014
2024-10-30,G1,0.03990282592097218,1014
2024-10-30,G2,0.039269741468685275,1013
2024-10-30,G3,0.0444616845688041,1013
2024-10-30,G4,0.04786255822307563,1013
2024-10-30,G5,0.03750879764161847,1014
2024-10-31,G1,0.059350626190046975,1014
2024-10-31,G2,0.05826819591856853,1014
2024-10-31,G3,0.05609265819686807,1013
2024-10-31,G4,0.05643744353823681,1014
2024-10-31,G5,0.028456222790482134,1014
2024-11-01,G1,0.08657018864846677,1014
2024-11-01,G2,0.0870800632687986,1014
2024-11-01,G3,0.08597050474981995,1014
2024-11-01,G4,0.09828608734840913,1014
2024-11-01,G5,0.08172489996735505,1014
2024-11-04,G1,0.08607277025483415,1015
2024-11-04,G2,0.08383826183685765,1014
2024-11-04,G3,0.09110376044203973,1014
2024-11-04,G4,0.10148495579250565,1014
2024-11-04,G5,0.08833012730863818,1014
2024-11-05,G1,0.05265078658060037,1015
2024-11-05,G2,0.04851746812030888,1015
2024-11-05,G3,0.05019251970195374,1014
2024-11-05,G4,0.052632873793915305,1015
2024-11-05,G5,0.0354114392801051,1015
2024-11-06,G1,0.05173274785101112,1016
2024-11-06,G2,0.04823798872721253,1015
2024-11-06,G3,0.04422106853977266,1015
2024-11-06,G4,0.04239530590026628,1015
2024-11-06,G5,0.024193584546640293,1015
2024-11-07,G1,-0.0014195693590817648,1015
2024-11-07,G2,-0.006498934529115075,1015
2024-11-07,G3,-0.010919372033240983,1014
2024-11-07,G4,-0.012734300155415148,1015
2024-11-07,G5,-0.027376391270193073,1015
2024-11-08,G1,-0.016602133889602678,1016
2024-11-08,G2,-0.02428161451231214,1015
2024-11-08,G3,-0.03295542387629743,1015
2024-11-08,G4,-0.03710173908835918,1015
2024-11-08,G5,-0.05697381429786241,1015
2024-11-11,G1,-0.06526036585857894,1015
2024-11-11,G2,-0.06790358550024762,1014
2024-11-11,G3,-0.07060197097706976,1014
2024-11-11,G4,-0.0829844438263292,1014
2024-11-11,G5,-0.09776237105484388,1014
2024-11-12,G1,-0.03949730123623351,1015
2024-11-12,G2,-0.03927600370417196,1014
2024-11-12,G3,-0.04304510221052308,1014
2024-11-12,G4,-0.045753727785521774,1014
2024-11-12,G5,-0.059920080403339786,1015
2024-11-13,G1,-0.025160941454941837,1015
2024-11-13,G2,-0.025870965486170648,1014
2024-11-13,G3,-0.02388478138355864,1014
2024-11-13,G4,-0.026386578316321276,1014
2024-11-13,G5,-0.030437379526012415,1015
2024-11-14,G1,0.004881734724242112,1015
2024-11-14,G2,0.0022268369582411855,1015
2024-11-14,G3,0.006506822650836689,1014
2024-11-14,G4,0.00735197358104699,1015
2024-11-14,G5,0.006435224421793125,1015
2024-11-15,G1,-0.014522765925833925,1015
2024-11-15,G2,-0.013361206500179376,1015
2024-11-15,G3,-0.012079569947240985,1015
2024-11-15,G4,-0.007476415424251551,1015
2024-11-15,G5,-0.0028380680552154073,1015
2024-11-18,G1,0.030764716163213017,1015
2024-11-18,G2,0.024401860478800108,1014
2024-11-18,G3,0.023605047433801908,1015
2024-11-18,G4,0.026057821704129264,1014
2024-11-18,G5,0.034544845461637635,1015
2024-11-19,G1,-0.004398863033732865,1015
2024-11-19,G2,-0.0058956797542018815,1015
2024-11-19,G3,-0.009673609162882018,1015
2024-11-19,G4,-0.006996462829962154,1015
2024-11-19,G5,-0.004943036690121748,1015
2024-11-20,G1,-0.007750262666598484,1016
2024-11-20,G2,-0.007092478261693502,1015
2024-11-20,G3,-0.013402776786261523,1016
2024-11-20,G4,-0.011767154157526528,1015
2024-11-20,G5,-0.017453410864712752,1016
2024-11-21,G1,-0.008040714689251932,1016
2024-11-21,G2,-0.01102071145334747,1016
2024-11-21,G3,-0.010817243878240632,1015
2024-11-21,G4,-0.012500390535646742,1016
2024-11-21,G5,-0.019722957993140278,1016
2024-11-22,G1,0.04752784993755406,1016
2024-11-22,G2,0.04402533331918954,1016
2024-11-22,G3,0.04025287928330737,1016
2024-11-22,G4,0.03880142234288256,1016
2024-11-22,G5,0.02723103878003931,1016
2024-11-25,G1,0.05792262562767942,1016
2024-11-25,G2,0.051952265036434686,1016
2024-11-25,G3,0.04675524331756732,1015
2024-11-25,G4,0.04855473511232952,1016
2024-11-25,G5,0.03347433306850026,1016
2024-11-26,G1,0.06542807957367006,1017
2024-11-26,G2,0.05752715739904527,1016
2024-11-26,G3,0.06100219047844777,1016
2024-11-26,G4,0.05617175267287009,1016
2024-11-26,G5,0.05684599730788079,1016
2024-11-27,G1,0.030549177842800777,1016
2024-11-27,G2,0.028274451138981024,1016
2024-11-27,G3,0.028438458793452734,1016
2024-11-27,G4,0.0264621244236207,1016
2024-11-27,G5,0.02459601405812843,1016
2024-11-28,G1,0.038663104977944736,1016
2024-11-28,G2,0.037898888461828054,1016
2024-11-28,G3,0.03889842389467916,1015
2024-11-28,G4,0.042683170341449396,1016
2024-11-28,G5,0.03862209119124218,1016
