rule,n,all_final,all_ann,all_mdd,all_sharpe,all_win,all_pl,all_mean,train_n,train_ann,train_mdd,train_sharpe,test_n,test_ann,test_mdd,test_sharpe,test_final,score
"pre_close_sma7_pct in [7.04,11.83] AND pre_pct in [-0.02166,0.06225]",348,0.6376251035102661,-0.1774165028409458,-0.4040898422307966,-0.80824938255749,0.42528735632183906,1.240850539196307,-0.10205864727330234,295,-0.17143693953966443,-0.36371092109970393,-0.7929196581755424,53,-0.22185493835953185,-0.17926796672933343,-1.0286543321647081,0.924009883438899,-0.5588572680055288
"pre_close_sma7_pct in [15.9,30.35] AND avg_limit_turnover_5 in [7.845,23.36]",219,1.0604487037033077,0.026502149589886725,-0.3542713776464853,0.2559701844462197,0.4429223744292237,1.3057873558912818,0.0612132629529293,190,0.13922950494162656,-0.3542713776464853,0.7863837582563705,28,-0.5419390740771943,-0.27546192130052793,-4.388020717040382,0.8161070816214634,-0.5588612453674011
"avg_limit_turnover_5 in [-0,9.603] AND pre_pct in [-0.0638,0.099]",946,0.9165237625993023,-0.03656989658632681,-0.48893257845366467,0.10650474070749331,0.4090909090909091,1.4142972071906592,-0.02615989163371484,812,0.0702290110591477,-0.48893257845366467,0.45593354809518316,133,-0.44495973380973175,-0.3406424450386709,-2.528644131489816,0.8200509872640454,-0.5588655026579947
"open_pct in [-5,-4.053] AND limit_days in [2,3]",387,0.8829896589782019,-0.053005443849577394,-0.43480874875230446,0.05053213133291323,0.4289405684754522,1.2687692272706856,-0.06079710531396623,339,0.035761441960775686,-0.43480874875230446,0.45537106917312853,48,-0.47017890515042804,-0.2336711313058919,-4.458860565653436,0.8243375028145498,-0.5590273235564035
"open_pct in [-4.306,-4.053] AND pre_close_sma7_pct in [0.01286,15.9]",188,0.9015006403574872,-0.04426378309630208,-0.31670371386158747,0.024427871386979,0.4148936170212766,1.4461785935107345,0.032548512982245766,167,0.046511176394845144,-0.31670371386158747,0.7404006424762465,21,-0.47161323630104324,-0.23119981711633908,-6.654112136544862,0.8250990005371648,-0.5590719823843944
"avg_limit_turnover_5 in [4.7,51.68] AND pre_pct in [0,0.01568]",198,0.8468218775460338,-0.07067159980404591,-0.4235489473384909,-0.15230889523513452,0.47474747474747475,1.0719304245473593,-0.043557971025922536,174,-0.010554027446225467,-0.3462940427744762,0.24210463307551433,24,-0.4278726957762623,-0.19105314908803828,-6.206961331198381,0.8647322476572127,-0.559138063090421
"pre_close_sma7_pct in [5.544,10.15] AND price_lowest_30 in [1.337,2.972]",413,0.6574567825056056,-0.1691596255116572,-0.48210966892335083,-0.5678705494380761,0.41404358353510895,1.4874455800700577,0.06871511303082319,361,-0.18065521151297825,-0.4413625548001444,-0.6564947575695541,51,-0.2313834949193453,-0.24777641349098534,-1.2060953971926278,0.9217581315013912,-0.5591734173089423
"avg_limit_turnover_5 in [-0,9.603] AND pre_pct in [-0.04105,0.02932]",454,0.8825231579850797,-0.05201096479356915,-0.328051786921163,-0.023308821760927856,0.394273127753304,1.3765252254411233,-0.1290919489685152,391,0.03031057434049722,-0.26934788999273074,0.3852352039611843,63,-0.42643918370339595,-0.28650991893458033,-2.585945616697405,0.8317014183669185,-0.5592006203526231
"avg_limit_turnover_5 in [3.034,6.449] AND price_lowest_30 in [1.396,1.968]",210,0.7905744724643254,-0.10251878232274847,-0.36544026033147736,-0.5201519030184141,0.38571428571428573,1.3654173201757531,-0.21860362516047724,187,-0.046963312242813804,-0.26007533823320206,-0.10187391856587574,22,-0.3248938399726783,-0.21411029149005945,-4.418487011466271,0.8845206761182124,-0.5594610224427977
"open_pct in [-3.768,-2.5] AND turnover_rate in [4.861,19.06]",844,0.9555161098756683,-0.019509240001128858,-0.5420796906278746,0.20260735991622342,0.39928909952606634,1.3932036744902359,-0.09875746973206866,745,0.05560392176740381,-0.5420796906278746,0.42062900401309306,98,-0.4797066602658112,-0.29635069117021884,-3.0536821443843998,0.8183347148857234,-0.559558572983974
