20260331 21:56:27- INFO- 开始更新指数、ETF、板块数据
20260331 21:56:27- INFO- ==================================================
20260331 21:56:27- INFO- 开始更新指数日线数据
20260331 21:56:27- INFO- 开始获取数据: 20200101 至 20260331
20260331 21:56:48- INFO- 获取 20200728 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 10秒后可用
20260331 21:56:48- INFO- 获取 20200729 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 10秒后可用
20260331 21:56:48- INFO- 获取 20200730 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 10秒后可用
20260331 21:56:48- INFO- 获取 20200731 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 10秒后可用
20260331 21:56:48- INFO- 获取 20200801 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 10秒后可用
20260331 21:56:48- INFO- 获取 20200802 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 10秒后可用
20260331 21:56:49- INFO- 获取 20200803 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 10秒后可用
20260331 21:56:49- INFO- 获取 20200804 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 10秒后可用
20260331 21:56:49- INFO- 获取 20200805 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 9秒后可用
20260331 21:56:49- INFO- 获取 20200806 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 9秒后可用
20260331 21:56:49- INFO- 获取 20200807 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 9秒后可用
20260331 21:56:49- INFO- 获取 20200808 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 9秒后可用
20260331 21:56:49- INFO- 获取 20200809 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 9秒后可用
20260331 21:56:49- INFO- 获取 20200810 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 9秒后可用
20260331 21:56:49- INFO- 获取 20200811 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 9秒后可用
20260331 21:56:49- INFO- 获取 20200812 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 9秒后可用
20260331 21:56:50- INFO- 获取 20200813 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 9秒后可用
20260331 21:56:50- INFO- 获取 20200814 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 9秒后可用
20260331 21:56:50- INFO- 获取 20200815 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 9秒后可用
20260331 21:56:50- INFO- 获取 20200816 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 8秒后可用
20260331 21:56:50- INFO- 获取 20200817 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 8秒后可用
20260331 21:56:50- INFO- 获取 20200818 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 8秒后可用
20260331 21:56:50- INFO- 获取 20200819 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 8秒后可用
20260331 21:56:50- INFO- 获取 20200820 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 8秒后可用
20260331 21:56:50- INFO- 获取 20200821 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 8秒后可用
20260331 21:56:50- INFO- 获取 20200822 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 8秒后可用
20260331 21:56:50- INFO- 获取 20200823 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 8秒后可用
20260331 21:56:51- INFO- 获取 20200824 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 8秒后可用
20260331 21:56:51- INFO- 获取 20200825 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 8秒后可用
20260331 21:56:51- INFO- 获取 20200826 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 7秒后可用
20260331 21:56:51- INFO- 获取 20200827 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 7秒后可用
20260331 21:56:51- INFO- 获取 20200828 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 7秒后可用
20260331 21:56:51- INFO- 获取 20200829 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 7秒后可用
20260331 21:56:51- INFO- 获取 20200830 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 7秒后可用
20260331 21:56:51- INFO- 获取 20200831 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 7秒后可用
20260331 21:56:51- INFO- 获取 20200901 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 7秒后可用
