week_id,week_end_date,trading_days_in_week,max_daily_stock_count,limit_up_count,limit_down_count,limit_up_next_ret,limit_down_next_ret,limit_up_event_count,limit_down_event_count,limit_up_ratio,limit_down_ratio,net_limit_ratio,market_week_end_date,benchmark_value_weight_ret,future_return_1d,future_return_3d,future_return_5d,future_return_10d,chase_ret,chase_trade_count,signal_net_limit_ratio,signal_limit_down_next_ret,signal_limit_up_ratio,signal_limit_down_ratio,signal_chase_ret,total_signal_count,base_position,next_week_ret,return_week_end_date,base_model_ret,weighted_signal_value,weighted_position,weighted_model_ret,benchmark_nav,ma_10,ma_20,ma_60,signal_ma20,market_trend,trend_buy_signal,trend_position,trend_model_ret
2025-25,2025-06-20,5,4963,220,48,0.013225885977821277,-0.05194952926725042,176,34,0.04432802740278058,0.009671569615152125,0.03465645778762845,2025-06-20,-0.00833263832535247,0.007750751014898194,0.03493605761477414,0.030111997447608507,0.043804657499668886,-0.0035516500522253715,570,0,0,0,1,1,2,0.75,0.030111997447608507,2025-06-27,0.02258399808570638,0.5,0.0,0.0,1.138510592537154,1.1295362103251452,1.1378721347903358,1.0698634812537235,2.65,sideways,false,0.0,0.0
2025-26,2025-06-27,5,4964,326,26,0.02092347410815228,-0.029965120527550383,272,23,0.06567284448025786,0.005237711522965351,0.060435132957292505,2025-06-27,0.030111997447608507,0.008003535597451927,0.008077204625384748,0.013292399356563012,0.0295999204194497,0.0014425281240771832,726,1,0,0,1,1,3,1.0,0.01329239935656279,2025-07-04,0.01329239935656279,0.6499999999999999,0.8,0.010633919485250233,1.172793420593708,1.136942584534871,1.1399994329922527,1.0724665568239518,2.6,sideways,true,1.0,0.01329239935656279
2025-27,2025-07-04,5,4962,301,33,0.012176067298032984,-0.045424850172749574,262,23,0.060661023780733576,0.006650544135429262,0.05401047964530431,2025-07-04,0.01329239935656279,0.00046877928809108127,0.009150063560409372,0.016093598524218766,0.029030705866474937,-0.002139501410819761,692,1,0,0,1,1,3,1.0,0.016093598524218766,2025-07-11,0.016093598524218766,0.6499999999999999,0.8,0.012874878819375013,1.188382659102989,1.1447287952761334,1.1420483705916902,1.0750618327415444,2.55,up,true,1.0,0.016093598524218766
2025-28,2025-07-11,5,4964,308,18,0.0288039634419806,-0.001991840886931301,248,12,0.062046736502820304,0.0036261079774375505,0.05842062852538275,2025-07-11,0.016093598524218766,0.0027498072806775298,0.0005515244096423455,0.012732200420361162,0.03215037948744626,0.0048359290052990426,634,1,1,0,1,1,4,1.0,0.01273220042036094,2025-07-18,0.01273220042036094,0.75,1.0,0.01273220042036094,1.207508012511736,1.1547518081117896,1.1440823301957477,1.0779676767013184,2.5,up,true,1.0,0.01273220042036094
2025-29,2025-07-18,5,4967,265,35,0.02285365809477458,-0.025670597701080905,220,34,0.05335212401852225,0.007046506945842561,0.04630561707267969,2025-07-18,0.01273220042036094,0.0088724120764756,0.012955875363143798,0.019174051204282172,0.009001075183336704,0.0003468768106455957,618,1,0,0,1,1,3,1.0,0.019174051204282172,2025-07-25,0.019174051204282172,0.6499999999999999,0.8,0.015339240963425739,1.222882246536227,1.1638288372239447,1.1481920020166576,1.0815293923823084,2.6,up,true,1.0,0.019174051204282172
2025-30,2025-07-25,5,4967,389,23,0.027157810168071936,-0.0033566133147176678,344,12,0.07831689148379303,0.004630561707267968,0.07368632977652506,2025-07-25,0.019174051204282172,0.002759570879754092,0.004697171340841688,-0.009981588531345231,0.010812216109936212,0.013245376846613475,823,1,1,0,1,1,4,1.0,-0.00998158853134501,2025-08-01,-0.00998158853134501,0.75,1.0,-0.00998158853134501,1.2463298533481202,1.1743753950092357,1.1523290450392418,1.0855002803100702,2.7,up,true,1.0,-0.00998158853134501
2025-31,2025-08-01,5,4973,232,29,0.021578870065235376,-0.042057051730670335,191,22,0.04665192036999799,0.005831490046249749,0.04082043032374824,2025-08-01,-0.00998158853134501,0.006976095393582682,0.02144827132490401,0.021003452461489713,0.04647764579775293,0.002141005433480103,683,1,0,0,1,1,3,1.0,0.021003452461489713,2025-08-08,0.021003452461489713,0.6499999999999999,0.8,0.01680276196919177,1.2338895015776676,1.1843316302872429,1.1550282431770555,1.0895469948529377,2.65,up,true,1.0,0.021003452461489713
2025-32,2025-08-08,5,4970,290,25,0.02241520633366516,-0.02207498997520193,229,22,0.05835010060362173,0.005030181086519115,0.05331991951710262,2025-08-08,0.021003452461489713,0.007764716181756004,0.020321457113875674,0.024950153963582355,0.06287909800264124,0.006889196599160442,736,1,0,0,1,1,3,1.0,0.024950153963582355,2025-08-15,0.024950153963582355,0.6499999999999999,0.8,0.019960123170865887,1.2598054410667854,1.1968841615485952,1.1601090045970315,1.0940290764053813,2.65,up,true,1.0,0.024950153963582355
2025-33,2025-08-15,5,4973,354,22,0.02673654255230864,-0.01861781237914158,268,20,0.0711843957369797,0.004423889000603257,0.06676050673637643,2025-08-15,0.024950153963582355,0.01242547748549172,0.022487373142410005,0.037005647437959865,0.05128071301864434,0.010062790357616572,921,1,0,0,1,1,3,1.0,0.03700564743796009,2025-08-22,0.03700564743796009,0.6499999999999999,0.8,0.029604517950368073,1.2912377807855604,1.2109416611872792,1.1673286554532787,1.099261077816562,2.75,up,true,1.0,0.03700564743796009
2025-34,2025-08-22,5,4974,390,34,0.014408697301297804,-0.019653228581913155,319,32,0.07840772014475271,0.006835544833132288,0.07157217531162043,2025-08-22,0.03700564743796009,0.016404532995526466,-0.0035094489082314606,0.013765658476357023,0.000953331450460615,0.003334215152673567,1002,1,0,0,1,1,3,1.0,0.013765658476357023,2025-08-29,0.013765658476357023,0.6499999999999999,0.8,0.01101252678108562,1.3390208708598847,1.2300360378919832,1.1774045684790275,1.105503862469072,2.9,up,true,1.0,0.013765658476357023
