参数组合,参数结果,综合得分
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 204, '调整正确率(%)': '53.99', '预计平均亏损改善(%)': '1.6962'}",0.5192195674572047
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 151, '调整正确率(%)': '54.26', '预计平均亏损改善(%)': '2.2140'}",0.5165780457768847
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 132, '调整正确率(%)': '55.44', '预计平均亏损改善(%)': '2.3471'}",0.5158832697225926
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 100, '调整正确率(%)': '60.45', '预计平均亏损改善(%)': '2.4212'}",0.5146982572736813
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 115, '调整正确率(%)': '56.97', '预计平均亏损改善(%)': '2.4362'}",0.5139345562625428
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 172, '调整正确率(%)': '58.77', '预计平均亏损改善(%)': '1.7574'}",0.5130375833351761
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 160, '调整正确率(%)': '60.96', '预计平均亏损改善(%)': '1.7578'}",0.5101388794022488
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 133, '调整正确率(%)': '53.77', '预计平均亏损改善(%)': '2.3807'}",0.5078663764311143
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 137, '调整正确率(%)': '55.39', '预计平均亏损改善(%)': '2.2590'}",0.5078153887916188
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 109, '调整正确率(%)': '57.32', '预计平均亏损改善(%)': '2.4467'}",0.5070039134242775
